Column1;Column2;Column3;Column4
10/12/2022/13:56:1;23.05;47.00;1
10/12/2022/14:1:2;23.00;47.50;1
10/12/2022/14:6:4;23.00;47.50;1
10/12/2022/14:12:5;23.00;47.50;1
10/12/2022/14:16:6;22.95;47.50;1
10/12/2022/14:21:7;22.90;48.00;1
10/12/2022/14:26:8;22.95;48.00;1
10/12/2022/14:31:10;22.90;48.00;1
10/12/2022/14:36:12;22.90;48.50;1
10/12/2022/14:41:12;22.90;48.50;1
10/12/2022/14:46:13;22.90;48.50;1
10/12/2022/14:51:15;22.90;48.50;1
10/12/2022/14:56:16;22.90;48.50;1
10/12/2022/15:1:17;22.95;48.50;1
10/12/2022/15:6:18;22.90;48.50;1
10/12/2022/15:12:19;22.90;48.50;1
10/12/2022/15:16:21;22.90;48.50;1
10/12/2022/15:21:22;22.90;49.00;1
10/12/2022/15:26:23;22.95;50.50;1
10/12/2022/15:31:24;22.95;50.50;1
10/12/2022/15:36:25;22.90;49.50;1
10/12/2022/15:41:27;22.90;49.50;1
10/12/2022/15:46:28;22.90;50.50;1
10/12/2022/15:51:29;22.90;50.50;1
10/12/2022/15:56:30;22.90;50.50;1
10/12/2022/16:1:31;22.90;50.50;1
10/12/2022/16:6:33;22.90;50.50;1
10/12/2022/16:12:34;22.90;50.00;1
10/12/2022/16:16:35;22.90;50.00;1
10/12/2022/16:21:36;22.90;50.50;1
10/12/2022/16:26:38;22.90;50.50;1
10/12/2022/16:31:39;22.90;50.50;1
10/12/2022/16:36:40;22.85;51.00;1
10/12/2022/16:41:41;22.85;51.00;1
10/12/2022/16:46:42;22.80;51.50;1
10/12/2022/16:51:44;22.80;51.50;1
10/12/2022/16:56:45;22.30;52.00;1
10/12/2022/17:1:46;22.30;52.50;1
10/12/2022/17:6:47;22.25;52.50;1
10/12/2022/17:12:49;22.25;52.50;1
10/12/2022/17:16:50;22.20;52.50;1
10/12/2022/17:21:51;22.20;52.50;1
10/12/2022/17:26:52;22.20;52.50;1
10/12/2022/17:31:53;22.20;52.50;1
10/12/2022/17:36:55;22.15;52.50;1
10/12/2022/17:41:56;22.10;52.00;1
10/12/2022/17:46:57;21.95;52.50;1
10/12/2022/17:51:58;21.95;52.50;1
10/12/2022/17:57:0;21.85;53.00;1
10/12/2022/18:2:1;21.85;53.00;1
10/12/2022/18:7:2;21.95;53.00;1
10/12/2022/18:12:3;21.95;52.50;1
10/12/2022/18:17:5;21.25;53.50;1
10/12/2022/18:22:6;21.25;53.50;1
10/12/2022/18:27:7;21.25;53.50;1
10/12/2022/18:32:8;21.10;54.00;1
10/12/2022/18:37:9;21.05;54.00;1
10/12/2022/18:42:12;21.05;54.00;1
10/12/2022/18:47:12;21.00;55.00;1
10/12/2022/18:52:13;21.00;55.00;1
10/12/2022/18:57:14;20.95;55.00;1
10/12/2022/19:2:16;20.90;55.00;1
10/12/2022/19:7:17;20.90;55.00;1
10/12/2022/19:12:18;20.90;55.00;1
10/12/2022/19:17:19;20.90;54.50;1
10/12/2022/19:22:20;21.35;55.00;1
10/12/2022/19:27:22;20.80;54.00;1
10/12/2022/19:32:23;20.80;54.00;1
10/12/2022/19:37:24;20.95;54.00;1
10/12/2022/19:42:25;20.90;54.00;1
10/12/2022/19:47:27;20.85;54.00;1
10/12/2022/19:52:28;20.75;55.00;1
10/12/2022/19:57:29;20.80;55.00;1
10/12/2022/20:2:30;20.95;54.00;1
10/12/2022/20:7:31;20.95;54.00;1
10/12/2022/20:12:33;20.80;55.00;1
10/12/2022/20:17:34;21.20;56.00;1
10/12/2022/20:22:35;20.20;56.00;1
10/12/2022/20:27:36;20.75;55.00;1
10/12/2022/20:32:38;20.20;55.50;1
10/12/2022/20:37:39;20.20;55.50;1
10/12/2022/20:42:40;20.20;55.50;1
10/12/2022/20:47:41;20.20;55.50;1
10/12/2022/20:52:42;20.20;55.50;1
10/12/2022/20:57:44;20.15;56.00;1
10/12/2022/21:2:45;20.20;55.50;1
10/12/2022/21:7:46;21.15;56.00;1
10/12/2022/21:12:47;20.10;56.50;1
10/12/2022/21:17:48;20.05;56.50;1
10/12/2022/21:22:50;20.10;56.50;1
10/12/2022/21:27:51;20.15;56.00;1
10/12/2022/21:32:52;20.10;56.00;1
10/12/2022/21:37:53;20.10;56.50;1
10/12/2022/21:42:55;20.10;56.50;1
10/12/2022/21:47:56;20.10;56.50;1
10/12/2022/21:52:57;20.10;56.00;1
10/12/2022/21:57:58;20.05;56.50;1
10/12/2022/22:2:59;20.00;57.50;1
10/12/2022/22:8:1;20.95;56.50;1
10/12/2022/22:13:2;20.45;56.50;1
10/12/2022/22:18:3;19.95;57.00;1
10/12/2022/22:23:4;19.95;57.00;1
10/12/2022/22:28:6;20.95;56.50;1
10/12/2022/22:33:7;20.35;57.50;1
10/12/2022/22:38:8;20.35;58.50;1
10/12/2022/22:43:9;19.35;57.50;1
10/12/2022/22:48:10;19.40;57.50;1
10/12/2022/22:53:12;20.35;58.50;1
10/12/2022/22:58:13;19.30;58.00;1
10/12/2022/23:3:14;19.95;57.00;1
10/12/2022/23:8:15;20.00;57.50;1
10/12/2022/23:13:17;19.95;57.50;1
10/12/2022/23:18:18;19.95;57.50;1
10/12/2022/23:23:19;20.00;57.50;1
10/12/2022/23:28:20;20.10;57.00;1
10/12/2022/23:33:21;20.05;57.50;1
10/12/2022/23:38:23;20.00;57.50;1
10/12/2022/23:43:24;20.10;57.00;1
10/12/2022/23:48:25;20.05;57.50;1
10/12/2022/23:53:26;20.00;57.50;1
10/12/2022/23:58:27;20.05;57.50;1
12/12/2022/0:3:29;20.00;57.50;1
12/12/2022/0:8:30;19.95;57.50;1
12/12/2022/0:13:31;20.35;63.00;1
12/12/2022/0:18:32;21.00;59.50;1
12/12/2022/0:23:34;21.00;58.50;1
12/12/2022/0:28:35;19.35;58.00;1
12/12/2022/0:33:36;20.45;63.00;1
12/12/2022/0:38:37;19.95;58.00;1
12/12/2022/0:43:38;19.35;58.00;1
12/12/2022/0:48:40;19.30;58.00;1
12/12/2022/0:53:41;20.40;63.00;1
12/12/2022/0:58:42;20.05;57.50;1
12/12/2022/1:3:43;20.00;58.00;1
12/12/2022/1:8:45;19.40;58.00;1
12/12/2022/1:13:46;19.30;58.00;1
12/12/2022/1:18:47;19.30;58.00;1
12/12/2022/1:23:48;20.35;63.50;1
12/12/2022/1:28:49;20.35;64.00;1
12/12/2022/1:33:51;19.40;58.00;1
12/12/2022/1:38:52;19.95;58.00;1
12/12/2022/1:43:53;19.95;58.00;1
12/12/2022/1:48:54;19.95;58.00;1
12/12/2022/1:53:56;19.95;58.00;1
12/12/2022/1:58:57;19.40;58.00;1
12/12/2022/2:3:58;20.30;63.50;1
12/12/2022/2:8:59;19.30;58.00;1
12/12/2022/2:14:0;19.95;58.00;1
12/12/2022/2:19:2;20.00;58.50;1
12/12/2022/2:24:3;19.40;58.00;1
12/12/2022/2:29:4;19.95;58.00;1
12/12/2022/2:34:5;20.00;58.00;1
12/12/2022/2:39:6;20.05;58.00;1
12/12/2022/2:44:8;20.00;58.50;1
12/12/2022/2:49:9;19.95;58.00;1
12/12/2022/2:54:10;19.35;58.00;1
12/12/2022/2:59:12;20.45;63.50;1
12/12/2022/3:4:13;19.95;58.00;1
12/12/2022/3:9:14;19.95;58.00;1
12/12/2022/3:14:15;19.95;58.00;1
12/12/2022/3:19:16;19.35;58.00;1
12/12/2022/3:24:17;19.95;58.00;1
12/12/2022/3:29:19;19.40;58.00;1
12/12/2022/3:34:20;20.35;63.50;1
12/12/2022/3:39:21;19.90;58.00;1
12/12/2022/3:44:22;19.95;58.00;1
12/12/2022/3:49:24;20.35;63.00;1
12/12/2022/3:54:25;19.30;58.00;1
12/12/2022/3:59:26;20.45;63.00;1
12/12/2022/4:4:27;19.35;58.00;1
12/12/2022/4:9:28;20.45;63.00;1
12/12/2022/4:14:30;19.95;58.00;1
12/12/2022/4:19:31;19.95;57.50;1
12/12/2022/4:24:32;19.95;58.00;1
12/12/2022/4:29:33;19.40;58.00;1
12/12/2022/4:34:35;19.35;58.00;1
12/12/2022/4:39:36;19.30;58.00;1
12/12/2022/4:44:37;20.25;64.50;1
12/12/2022/4:49:38;19.25;58.00;1
12/12/2022/4:54:39;19.20;59.50;1
12/12/2022/4:59:41;19.30;58.00;1
12/12/2022/5:4:42;19.25;58.00;1
12/12/2022/5:9:43;19.15;59.50;1
12/12/2022/5:14:44;19.20;61.00;1
12/12/2022/5:19:46;19.15;63.50;1
12/12/2022/5:24:47;19.20;60.50;1
12/12/2022/5:29:48;19.25;59.00;1
12/12/2022/5:34:49;19.30;58.00;1
12/12/2022/5:39:50;19.30;58.00;1
12/12/2022/5:44:52;19.25;59.00;1
12/12/2022/5:49:53;19.30;59.00;1
12/12/2022/5:54:54;19.30;58.00;1
12/12/2022/5:59:55;20.20;64.50;1
12/12/2022/6:4:57;19.25;58.00;1
12/12/2022/6:9:58;20.20;65.00;1
12/12/2022/6:14:59;19.10;63.50;1
12/12/2022/6:20:0;19.20;63.50;1
12/12/2022/6:25:1;19.20;59.00;1
12/12/2022/6:30:3;19.20;59.50;1
12/12/2022/6:35:4;20.15;65.00;1
12/12/2022/6:40:5;20.10;65.50;1
12/12/2022/6:45:6;20.05;66.00;1
12/12/2022/6:50:8;20.00;66.00;1
12/12/2022/6:55:9;20.05;66.00;1
12/12/2022/7:0:10;20.00;66.00;1
12/12/2022/7:5:12;19.10;63.50;1
12/12/2022/7:10:12;19.20;60.50;1
12/12/2022/7:15:14;19.25;58.00;1
12/12/2022/7:20:15;19.30;58.00;1
12/12/2022/7:25:16;19.30;58.00;1
12/12/2022/7:30:17;19.25;58.00;1
12/12/2022/7:35:19;19.20;61.00;1
12/12/2022/7:40:20;19.25;61.00;1
12/12/2022/7:45:21;19.35;58.00;1
12/12/2022/7:50:22;19.35;59.00;1
12/12/2022/7:55:23;20.45;64.50;1
12/12/2022/8:0:25;19.95;59.50;1
12/12/2022/8:5:26;19.95;58.00;1
12/12/2022/8:10:27;20.00;58.50;1
12/12/2022/8:15:28;20.00;58.50;1
12/12/2022/8:20:30;19.95;59.50;1
12/12/2022/8:25:31;19.95;59.50;1
12/12/2022/8:30:32;19.95;59.00;1
12/12/2022/8:35:33;19.95;58.00;1
12/12/2022/8:40:34;20.00;58.50;1
12/12/2022/8:45:36;20.10;58.50;1
12/12/2022/8:50:37;20.20;58.50;1
12/12/2022/8:55:38;20.20;58.50;1
12/12/2022/9:0:39;20.75;58.00;1
12/12/2022/9:5:41;20.80;59.00;1
12/12/2022/14:35:39;23.00;50.00;1
12/12/2022/14:40:41;23.05;49.50;1
12/12/2022/14:45:42;23.10;48.50;1
12/12/2022/14:50:43;23.10;50.00;1
12/12/2022/14:55:44;23.10;49.00;1
12/12/2022/15:0:46;23.10;49.50;1
12/12/2022/15:5:47;23.10;47.50;1
12/12/2022/15:10:48;23.10;48.50;1
12/12/2022/15:15:49;23.10;48.50;1
12/12/2022/15:20:50;23.10;48.00;1
12/12/2022/15:25:52;23.10;49.50;1
12/12/2022/15:30:53;23.10;49.50;1
12/12/2022/15:35:54;23.10;49.00;1
12/12/2022/15:40:55;23.05;48.00;1
12/12/2022/15:45:57;23.05;50.00;1
12/12/2022/15:50:58;23.05;49.50;1
12/12/2022/15:55:59;23.00;48.50;1
12/12/2022/16:1:0;22.95;48.00;1
12/12/2022/16:6:1;22.90;50.50;1
12/12/2022/16:12:3;22.30;52.00;1
12/12/2022/16:16:4;22.25;52.50;1
12/12/2022/16:21:5;22.20;54.00;1
12/12/2022/16:26:6;22.20;54.00;1
12/12/2022/16:31:7;22.20;54.00;1
12/12/2022/16:36:9;22.20;53.00;1
12/12/2022/16:41:10;22.20;53.50;1
12/12/2022/16:46:12;22.20;52.00;1
12/12/2022/16:51:12;22.15;54.00;1
12/12/2022/16:56:14;22.20;54.50;1
12/12/2022/17:1:15;22.15;54.50;1
12/12/2022/17:6:16;22.15;54.00;1
12/12/2022/17:12:17;22.10;54.00;1
12/12/2022/17:16:18;22.05;53.00;1
12/12/2022/17:21:20;22.00;50.50;1
12/12/2022/17:26:21;21.95;51.50;1
12/12/2022/17:31:22;21.90;51.00;1
12/12/2022/17:36:23;21.90;49.50;1
12/12/2022/17:41:24;21.90;50.00;1
12/12/2022/17:46:26;21.95;50.00;1
12/12/2022/17:51:27;21.85;49.50;1
12/12/2022/17:56:28;21.30;49.50;1
12/12/2022/18:1:29;21.30;49.00;1
12/12/2022/18:6:31;21.30;48.50;1
12/12/2022/18:12:32;21.30;50.00;1
12/12/2022/18:16:33;21.30;50.50;1
12/12/2022/18:21:34;21.20;49.00;1
12/12/2022/18:26:35;21.20;49.00;1
12/12/2022/18:31:37;21.25;52.50;1
12/12/2022/18:36:38;21.15;52.00;1
12/12/2022/18:41:39;21.15;47.00;1
12/12/2022/18:46:40;21.20;48.00;1
12/12/2022/18:51:42;21.20;49.50;1
12/12/2022/18:56:43;21.20;49.50;1
12/12/2022/19:1:44;21.15;50.50;1
12/12/2022/19:6:45;21.15;50.00;1
12/12/2022/19:12:46;21.05;50.50;1
12/12/2022/19:16:48;21.05;50.00;1
12/12/2022/19:21:49;21.05;51.00;1
12/12/2022/19:26:50;21.05;50.00;1
12/12/2022/19:31:51;21.00;49.50;1
12/12/2022/19:36:53;21.05;50.50;1
12/12/2022/19:41:54;21.05;48.50;1
12/12/2022/19:46:55;21.00;47.00;1
12/12/2022/19:51:56;21.00;47.50;1
12/12/2022/19:56:57;20.95;47.50;1
12/12/2022/20:1:59;20.95;48.50;1
12/12/2022/20:7:0;20.95;49.00;1
12/12/2022/20:12:1;20.90;48.50;1
12/12/2022/20:17:2;20.95;48.50;1
12/12/2022/20:22:3;20.90;49.00;1
12/12/2022/20:27:5;20.95;48.50;1
12/12/2022/20:32:6;20.95;50.50;1
12/12/2022/20:37:7;20.90;47.00;1
12/12/2022/20:42:8;20.95;47.00;1
12/12/2022/20:47:10;20.90;48.50;1
12/12/2022/20:52:12;20.95;49.00;1
12/12/2022/20:57:12;20.95;50.50;1
12/12/2022/21:2:13;20.95;48.50;1
12/12/2022/21:7:14;20.90;48.50;1
12/12/2022/21:12:16;20.85;47.50;1
12/12/2022/21:17:17;20.90;50.00;1
12/12/2022/21:22:18;20.90;50.50;1
12/12/2022/21:27:19;20.90;50.00;1
12/12/2022/21:32:21;20.95;49.50;1
12/12/2022/21:37:22;20.95;53.00;1
12/12/2022/21:42:23;20.95;54.00;1
12/12/2022/21:47:24;20.90;48.50;1
12/12/2022/21:52:25;20.85;49.00;1
12/12/2022/21:57:27;20.85;51.00;1
12/12/2022/22:2:28;20.80;48.00;1
12/12/2022/22:7:29;20.85;50.50;1
12/12/2022/22:12:30;20.80;47.50;1
12/12/2022/22:17:31;20.30;47.00;1
12/12/2022/22:22:33;20.80;49.00;1
12/12/2022/22:27:34;20.30;49.00;1
12/12/2022/22:32:35;20.80;48.00;1
12/12/2022/22:37:36;20.75;48.00;1
12/12/2022/22:42:38;20.75;49.00;1
12/12/2022/22:47:39;20.80;53.00;1
12/12/2022/22:52:40;20.80;52.50;1
12/12/2022/22:57:41;20.30;51.00;1
12/12/2022/23:2:42;20.80;52.50;1
12/12/2022/23:7:44;20.80;53.00;1
12/12/2022/23:12:45;20.75;52.00;1
12/12/2022/23:17:46;20.75;51.50;1
12/12/2022/23:22:47;20.25;52.00;1
12/12/2022/23:27:48;20.30;53.50;1
12/12/2022/23:32:50;20.25;53.50;1
12/12/2022/23:37:51;20.15;51.50;1
12/12/2022/23:42:52;20.20;54.00;1
12/12/2022/23:47:53;20.25;54.00;1
12/12/2022/23:52:55;20.15;52.00;1
12/12/2022/23:57:56;20.15;50.50;1
12/12/2022/0:2:57;20.05;52.00;1
12/12/2022/0:7:58;20.15;54.00;1
12/12/2022/0:12:59;20.20;54.50;1
12/12/2022/0:18:1;20.20;54.00;1
